,ABC,ACTE1,ACTE2,DGGRC1,DGGRC2,DGNBL1,DGNBL2,EPEN,MFOL1,MFOL2,MGL1,MGL2,MGL3,MOL1,MOL2,MOL3,OPC,PER1,PER2,PER3,TEGLU1,TEGLU10,TEGLU11,TEGLU12,TEGLU13,TEGLU14,TEGLU2,TEGLU20,TEGLU21,TEGLU23,TEGLU24,TEGLU3,TEGLU4,TEGLU6,TEGLU7,TEGLU8,TEGLU9,TEINH10,TEINH11,TEINH12,TEINH13,TEINH14,TEINH15,TEINH16,TEINH17,TEINH18,TEINH19,TEINH20,TEINH21,TEINH4,TEINH5,TEINH6,TEINH7,TEINH8,TEINH9,VECA,VECC,VECV,VLMC1,VLMC2,VSMCA
Abi3bp,0.043795620437956206,0.0020174848688634837,0.0017618927762396174,0.0,0.0002954209748892171,0.0,0.0006920415224913495,0.003875968992248062,0.0010857763300760044,0.00041407867494824016,0.004405286343612335,0.0027472527472527475,0.0044943820224719105,0.00034423407917383823,0.00029967036260113877,0.0,0.0,0.0031746031746031746,0.004098360655737705,0.003355704697986577,0.3009950248756219,0.011547344110854504,0.04781420765027322,0.08808290155440414,0.007874015748031496,0.3142857142857143,0.0,0.01818181818181818,0.009615384615384616,0.0,0.006381934216985763,0.1005852231163131,0.03162650602409638,0.0903010033444816,0.12073921971252567,0.035818951481602086,0.009900990099009901,0.0034423407917383822,0.0015151515151515152,0.0,0.0,0.002369668246445498,0.0009354536950420954,0.0015527950310559005,0.0014814814814814814,0.0018281535648994515,0.028846153846153848,0.0,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000975609756097561,0.003237410071942446,0.0014245014245014246,0.061933534743202415,0.009828009828009828
Acly,0.18248175182481752,0.12037659717552118,0.08708784293984395,0.11088504577822991,0.08242245199409158,0.20754716981132076,0.10934256055363321,0.23255813953488372,0.9134093376764386,0.525879917184265,0.05638766519823789,0.0956043956043956,0.11310861423220973,0.37888697647733793,0.7744481070822096,0.92644672796106,0.08048780487804878,0.12402116402116402,0.18237704918032788,0.03691275167785235,0.15422885572139303,0.40300230946882215,0.28210382513661203,0.2694300518134715,0.23622047244094488,0.2857142857142857,0.2956204379562044,0.4727272727272727,0.5192307692307693,0.24793388429752067,0.1330387825233186,0.1942209217264082,0.29668674698795183,0.09698996655518395,0.20985626283367556,0.19928362097036795,0.15346534653465346,0.3614457831325301,0.5015151515151515,0.575,0.6625766871165644,0.15876777251184834,0.19363891487371376,0.2608695652173913,0.23703703703703705,0.30347349177330896,0.32884615384615384,0.49640287769784175,0.21038961038961038,0.11472868217054263,0.1358574610244989,0.2206896551724138,0.20588235294117646,0.17543859649122806,0.29012345679012347,0.1743119266055046,0.12390243902439024,0.1,0.04131054131054131,0.09667673716012085,0.043407043407043405
Adcyap1,0.0072992700729927005,0.0010087424344317419,0.0010067958721369243,0.001017293997965412,0.0005908419497784342,0.0,0.0006920415224913495,0.0,0.0016286644951140066,0.0016563146997929607,0.000881057268722467,0.0005494505494505495,0.0,0.00034423407917383823,0.0004994506043352313,0.001081665765278529,0.0,0.0008465608465608466,0.0,0.0,0.009950248756218905,0.12702078521939955,0.049863387978142076,0.010362694300518135,0.023622047244094488,0.05714285714285714,0.021897810218978103,0.03636363636363636,0.22115384615384615,0.1384297520661157,0.004418262150220913,0.011338697878566204,0.6671686746987951,0.05351170568561873,0.12073921971252567,0.18984044285249105,0.12376237623762376,0.0,0.0015151515151515152,0.0,0.0,0.02132701421800948,0.0018709073900841909,0.0,0.0014814814814814814,0.0,0.0,0.0,0.0,0.0031007751937984496,0.0022271714922048997,0.0,0.0,0.0,0.0,0.0,0.0,0.0014388489208633094,0.002849002849002849,0.0030211480362537764,0.002457002457002457
Adora2a,0.0,0.01714862138533961,0.014850239114019632,0.002034587995930824,0.0,0.006289308176100629,0.011072664359861591,0.012919896640826873,0.0,0.002898550724637681,0.004405286343612335,0.004395604395604396,0.00299625468164794,0.0017211703958691911,0.0013984616921386475,0.001081665765278529,0.0,0.28084656084656084,0.4959016393442623,0.3187919463087248,0.0,0.004618937644341801,0.00273224043715847,0.0,0.0,0.0,0.0036496350364963502,0.0,0.0,0.002066115702479339,0.0014727540500736377,0.004754937820043892,0.0015060240963855422,0.0,0.0008213552361396304,0.0013025073266037122,0.0,0.05335628227194492,0.0893939393939394,0.0,0.0,0.002369668246445498,0.0009354536950420954,0.0,0.014814814814814815,0.0,0.0028846153846153848,0.0,0.05714285714285714,0.0015503875968992248,0.0,0.0,0.0,0.0,0.0,0.13761467889908258,0.31609756097560976,0.0683453237410072,0.16809116809116809,0.04078549848942598,0.07616707616707617
Afp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002714440825190011,0.0,0.027753303964757708,0.02857142857142857,0.02696629213483146,0.0,0.000399560483468185,0.0,0.0,0.00021164021164021165,0.0,0.0,0.0,0.0023094688221709007,0.00273224043715847,0.0025906735751295338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04462326261887344,0.0,0.006688963210702341,0.00944558521560575,0.0009768804949527841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrp,0.0,0.0,0.0005033979360684622,0.0,0.0014771048744460858,0.0,0.001384083044982699,0.003875968992248062,0.0002714440825190011,0.0,0.0004405286343612335,0.0,0.0,0.0005737234652897303,0.00029967036260113877,0.001081665765278529,0.0024390243902439024,0.0006349206349206349,0.0,0.0,0.0,0.006928406466512702,0.001366120218579235,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.002066115702479339,0.0014727540500736377,0.0043891733723482075,0.0,0.0,0.0032854209445585215,0.0039075219798111365,0.01485148514851485,0.0034423407917383822,0.0,0.0035714285714285713,0.012269938650306749,0.004739336492890996,0.0018709073900841909,0.0,0.0014814814814814814,0.003656307129798903,0.006730769230769231,0.0,0.01038961038961039,0.0031007751937984496,0.0066815144766146995,0.0,0.0,0.0,0.0,0.0,0.0,0.0007194244604316547,0.0,0.0030211480362537764,0.0
Agt,0.0072992700729927005,0.31002017484868866,0.07928517493078278,0.002034587995930824,0.002363367799113737,0.0,0.0006920415224913495,0.20930232558139536,0.008414766558089034,0.006625258799171843,0.003524229074889868,0.007142857142857143,0.00599250936329588,0.0069994262765347105,0.008190989911097792,0.0048674959437533805,0.004878048780487805,0.006772486772486773,0.012295081967213115,0.010067114093959731,0.0,0.004618937644341801,0.00546448087431694,0.007772020725388601,0.0,0.0,0.0,0.0,0.0,0.006198347107438017,0.005891016200294551,0.0,0.0015060240963855422,0.0,0.02299794661190965,0.00976880494952784,0.0,0.0017211703958691911,0.0015151515151515152,0.0,0.012269938650306749,0.06398104265402843,0.026192703461178673,0.006211180124223602,0.002962962962962963,0.0,0.008653846153846154,0.0,0.0,0.0031007751937984496,0.0022271714922048997,0.0,0.0,0.0,0.0,0.0,0.00878048780487805,0.00935251798561151,0.022792022792022793,0.004531722054380665,0.011466011466011465
Akr1c18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004405286343612335,0.0,0.0,0.00011474469305794607,0.0001997802417340925,0.0,0.0,0.00021164021164021165,0.0,0.0,0.0,0.0011547344110854503,0.0,0.0,0.0,0.0,0.0036496350364963502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006512536633018561,0.0,0.0034423407917383822,0.0015151515151515152,0.0,0.0,0.0,0.0,0.003105590062111801,0.01037037037037037,0.31078610603290674,0.06923076923076923,0.0,0.0025974025974025974,0.0,0.0022271714922048997,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.00035971223021582735,0.0,0.0015105740181268882,0.0
Aldh1a1,0.051094890510948905,0.1694687289845326,0.03825824314120312,0.002034587995930824,0.0008862629246676514,0.0,0.0006920415224913495,0.03875968992248062,0.039359391965255154,0.013664596273291925,0.0022026431718061676,0.006593406593406593,0.0052434456928838954,0.030751577739529547,0.04395165318150035,0.029204975662520283,0.015853658536585366,0.22306878306878306,0.1885245901639344,0.03355704697986577,0.017412935323383085,0.04849884526558892,0.11270491803278689,0.36787564766839376,0.007874015748031496,0.0,0.010948905109489052,0.3090909090909091,0.0,0.004132231404958678,0.011291114383897889,0.014996342355523043,0.009036144578313253,0.02508361204013378,0.04887063655030801,0.019211983067404754,0.024752475247524754,0.0068846815834767644,0.013636363636363636,0.007142857142857143,0.006134969325153374,0.0071090047393364926,0.005612722170252572,0.010869565217391304,0.0014814814814814814,0.0,0.0009615384615384616,0.0,0.0025974025974025974,0.0031007751937984496,0.0022271714922048997,0.013793103448275862,0.014705882352941176,0.0,0.006172839506172839,0.5871559633027523,0.08682926829268292,0.1435251798561151,0.7792022792022792,1.2658610271903323,0.004095004095004095
Aldoc,0.12408759124087591,12.730665770006725,8.115781525295747,0.06408952187182096,0.06469719350073855,0.03773584905660377,0.03183391003460208,0.6873385012919897,0.1251357220412595,0.09565217391304348,0.06431718061674009,0.1087912087912088,0.149812734082397,0.17819850831899026,0.15512935770652284,0.24067063277447268,0.47560975609756095,0.08613756613756614,0.10245901639344263,0.087248322147651,0.43532338308457713,0.3787528868360277,0.273224043715847,0.21502590673575128,0.41732283464566927,0.11428571428571428,0.0948905109489051,0.12727272727272726,0.11538461538461539,0.10950413223140495,0.140893470790378,0.2373811265544989,0.21987951807228914,0.6889632107023411,0.19794661190965093,0.1686746987951807,0.28217821782178215,0.621342512908778,0.3212121212121212,0.37857142857142856,0.32515337423312884,0.1966824644549763,0.35266604303086996,0.07608695652173914,0.20592592592592593,0.8244972577696527,0.22596153846153846,1.0071942446043165,0.4077922077922078,0.6232558139534884,0.6748329621380846,0.35172413793103446,1.7647058823529411,2.2280701754385963,0.9567901234567902,0.11926605504587157,0.07121951219512195,0.07446043165467627,0.11538461538461539,0.10574018126888217,0.08927108927108927
